No.,Name,Type,Abilities,HP,Att,Def,S.Att,S.Def,Spd,Total
#0141,Kabutops (/pokemon/kabutops),rock | water,Swift Swim (/abilitydex/swiftswim.shtml) | Battle Armor (/abilitydex/battlearmor.shtml) | Weak Armor (/abilitydex/weakarmor.shtml),60,115,105,65,70,80,495
#0142,Aerodactyl (/pokemon/aerodactyl),rock | flying,Rock Head (/abilitydex/rockhead.shtml) | Pressure (/abilitydex/pressure.shtml) | Unnerve (/abilitydex/unnerve.shtml),80,105,65,60,75,130,515
#0143,Snorlax (/pokemon/snorlax),normal,Immunity (/abilitydex/immunity.shtml) | Thick Fat (/abilitydex/thickfat.shtml) | Gluttony (/abilitydex/gluttony.shtml),160,110,65,65,110,30,540
#0144,Articuno (/pokemon/articuno),ice | flying,Pressure (/abilitydex/pressure.shtml) | Snow Cloak (/abilitydex/snowcloak.shtml),90,85,100,95,125,85,580
#0145,Zapdos (/pokemon/zapdos),electric | flying,Pressure (/abilitydex/pressure.shtml) | Static (/abilitydex/static.shtml),90,90,85,125,90,100,580
#0146,Moltres (/pokemon/moltres),fire | flying,Pressure (/abilitydex/pressure.shtml) | Flame Body (/abilitydex/flamebody.shtml),90,100,90,125,85,90,580
#0147,Dratini (/pokemon/dratini),dragon,Shed Skin (/abilitydex/shedskin.shtml) | Marvel Scale (/abilitydex/marvelscale.shtml),41,64,45,50,50,50,300
#0148,Dragonair (/pokemon/dragonair),dragon,Shed Skin (/abilitydex/shedskin.shtml) | Marvel Scale (/abilitydex/marvelscale.shtml),61,84,65,70,70,70,420
#0149,Dragonite (/pokemon/dragonite),dragon | flying,Inner Focus (/abilitydex/innerfocus.shtml) | Multiscale (/abilitydex/multiscale.shtml),91,134,95,100,100,80,600
#0150,Mewtwo (/pokemon/mewtwo),psychic,Pressure (/abilitydex/pressure.shtml) | Unnerve (/abilitydex/unnerve.shtml),106,110,90,154,90,130,680
#0151,Mew (/pokemon/mew),psychic,Synchronize (/abilitydex/synchronize.shtml),100,100,100,100,100,100,600
#0152,Chikorita (/pokemon/chikorita),grass,Overgrow (/abilitydex/overgrow.shtml) | Leaf Guard (/abilitydex/leafguard.shtml),45,49,65,49,65,45,318
#0153,Bayleef (/pokemon/bayleef),grass,Overgrow (/abilitydex/overgrow.shtml) | Leaf Guard (/abilitydex/leafguard.shtml),60,62,80,63,80,60,405
#0154,Meganium (/pokemon/meganium),grass,Overgrow (/abilitydex/overgrow.shtml) | Leaf Guard (/abilitydex/leafguard.shtml),80,82,100,83,100,80,525
#0155,Cyndaquil (/pokemon/cyndaquil),fire,Blaze (/abilitydex/blaze.shtml) | Flash Fire (/abilitydex/flashfire.shtml),39,52,43,60,50,65,309
#0156,Quilava (/pokemon/quilava),fire,Blaze (/abilitydex/blaze.shtml) | Flash Fire (/abilitydex/flashfire.shtml),58,64,58,80,65,80,405
#0157,Typhlosion (/pokemon/typhlosion),fire,Blaze (/abilitydex/blaze.shtml) | Flash Fire (/abilitydex/flashfire.shtml),78,84,78,109,85,100,534
#0158,Totodile (/pokemon/totodile),water,Torrent (/abilitydex/torrent.shtml) | Sheer Force (/abilitydex/sheerforce.shtml),50,65,64,44,48,43,314
#0159,Croconaw (/pokemon/croconaw),water,Torrent (/abilitydex/torrent.shtml) | Sheer Force (/abilitydex/sheerforce.shtml),65,80,80,59,63,58,405
#0160,Feraligatr (/pokemon/feraligatr),water,Torrent (/abilitydex/torrent.shtml) | Sheer Force (/abilitydex/sheerforce.shtml),85,105,100,79,83,78,530
#0161,Sentret (/pokemon/sentret),normal,Run Away (/abilitydex/runaway.shtml) | Keen Eye (/abilitydex/keeneye.shtml) | Frisk (/abilitydex/frisk.shtml),35,46,34,35,45,20,215
#0162,Furret (/pokemon/furret),normal,Run Away (/abilitydex/runaway.shtml) | Keen Eye (/abilitydex/keeneye.shtml) | Frisk (/abilitydex/frisk.shtml),85,76,64,45,55,90,415
#0163,Hoothoot (/pokemon/hoothoot),normal | flying,Insomnia (/abilitydex/insomnia.shtml) | Keen Eye (/abilitydex/keeneye.shtml) | Tinted Lens (/abilitydex/tintedlens.shtml),60,30,30,36,56,50,262
#0164,Noctowl (/pokemon/noctowl),normal | flying,Insomnia (/abilitydex/insomnia.shtml) | Keen Eye (/abilitydex/keeneye.shtml) | Tinted Lens (/abilitydex/tintedlens.shtml),100,50,50,86,96,70,452
#0165,Ledyba (/pokemon/ledyba),bug | flying,Swarm (/abilitydex/swarm.shtml) | Early Bird (/abilitydex/earlybird.shtml) | Rattled (/abilitydex/rattled.shtml),40,20,30,40,80,55,265
#0166,Ledian (/pokemon/ledian),bug | flying,Swarm (/abilitydex/swarm.shtml) | Early Bird (/abilitydex/earlybird.shtml) | Iron Fist (/abilitydex/ironfist.shtml),55,35,50,55,110,85,390
#0167,Spinarak (/pokemon/spinarak),bug | poison,Swarm (/abilitydex/swarm.shtml) | Insomnia (/abilitydex/insomnia.shtml) | Sniper (/abilitydex/sniper.shtml),40,60,40,40,40,30,250
#0168,Ariados (/pokemon/ariados),bug | poison,Swarm (/abilitydex/swarm.shtml) | Insomnia (/abilitydex/insomnia.shtml) | Sniper (/abilitydex/sniper.shtml),70,90,70,60,70,40,400
#0169,Crobat (/pokemon/crobat),poison | flying,Inner Focus (/abilitydex/innerfocus.shtml) | Infiltrator (/abilitydex/infiltrator.shtml),85,90,80,70,80,130,535
#0170,Chinchou (/pokemon/chinchou),water | electric,Volt Absorb (/abilitydex/voltabsorb.shtml) | Illuminate (/abilitydex/illuminate.shtml) | Water Absorb (/abilitydex/waterabsorb.shtml),75,38,38,56,56,67,330
#0171,Lanturn (/pokemon/lanturn),water | electric,Volt Absorb (/abilitydex/voltabsorb.shtml) | Illuminate (/abilitydex/illuminate.shtml) | Water Absorb (/abilitydex/waterabsorb.shtml),125,58,58,76,76,67,460
#0172,Pichu (/pokemon/pichu),electric,Static (/abilitydex/static.shtml) | Lightning Rod (/abilitydex/lightningrod.shtml),20,40,15,35,35,60,205
#0173,Cleffa (/pokemon/cleffa),fairy,Cute Charm (/abilitydex/cutecharm.shtml) | Magic Guard (/abilitydex/magicguard.shtml) | Friend Guard (/abilitydex/friendguard.shtml),50,25,28,45,55,15,218
#0174,Igglybuff (/pokemon/igglybuff),normal | fairy,Cute Charm (/abilitydex/cutecharm.shtml) | Competitive (/abilitydex/competitive.shtml) | Friend Guard (/abilitydex/friendguard.shtml),90,30,15,40,20,15,210
#0175,Togepi (/pokemon/togepi),fairy,Hustle (/abilitydex/hustle.shtml) | Serene Grace (/abilitydex/serenegrace.shtml) | Super Luck (/abilitydex/superluck.shtml),35,20,65,40,65,20,245
#0176,Togetic (/pokemon/togetic),fairy | flying,Hustle (/abilitydex/hustle.shtml) | Serene Grace (/abilitydex/serenegrace.shtml) | Super Luck (/abilitydex/superluck.shtml),55,40,85,80,105,40,405
#0177,Natu (/pokemon/natu),psychic | flying,Synchronize (/abilitydex/synchronize.shtml) | Early Bird (/abilitydex/earlybird.shtml) | Magic Bounce (/abilitydex/magicbounce.shtml),40,50,45,70,45,70,320
#0178,Xatu (/pokemon/xatu),psychic | flying,Synchronize (/abilitydex/synchronize.shtml) | Early Bird (/abilitydex/earlybird.shtml) | Magic Bounce (/abilitydex/magicbounce.shtml),65,75,70,95,70,95,470
#0179,Mareep (/pokemon/mareep),electric,Static (/abilitydex/static.shtml) | Plus (/abilitydex/plus.shtml),55,40,40,65,45,35,280
#0180,Flaaffy (/pokemon/flaaffy),electric,Static (/abilitydex/static.shtml) | Plus (/abilitydex/plus.shtml),70,55,55,80,60,45,365
#0181,Ampharos (/pokemon/ampharos),electric,Static (/abilitydex/static.shtml) | Plus (/abilitydex/plus.shtml),90,75,85,115,90,55,510
#0182,Bellossom (/pokemon/bellossom),grass,Chlorophyll (/abilitydex/chlorophyll.shtml) | Healer (/abilitydex/healer.shtml),75,80,95,90,100,50,490
#0183,Marill (/pokemon/marill),water | fairy,Thick Fat (/abilitydex/thickfat.shtml) | Huge Power (/abilitydex/hugepower.shtml) | Sap Sipper (/abilitydex/sapsipper.shtml),70,20,50,20,50,40,250
#0184,Azumarill (/pokemon/azumarill),water | fairy,Thick Fat (/abilitydex/thickfat.shtml) | Huge Power (/abilitydex/hugepower.shtml) | Sap Sipper (/abilitydex/sapsipper.shtml),100,50,80,60,80,50,420
#0185,Sudowoodo (/pokemon/sudowoodo),rock,Sturdy (/abilitydex/sturdy.shtml) | Rock Head (/abilitydex/rockhead.shtml) | Rattled (/abilitydex/rattled.shtml),70,100,115,30,65,30,410
#0186,Politoed (/pokemon/politoed),water,Water Absorb (/abilitydex/waterabsorb.shtml) | Damp (/abilitydex/damp.shtml) | Drizzle (/abilitydex/drizzle.shtml),90,75,75,90,100,70,500
#0187,Hoppip (/pokemon/hoppip),grass | flying,Chlorophyll (/abilitydex/chlorophyll.shtml) | Leaf Guard (/abilitydex/leafguard.shtml) | Infiltrator (/abilitydex/infiltrator.shtml),35,35,40,35,55,50,250
#0188,Skiploom (/pokemon/skiploom),grass | flying,Chlorophyll (/abilitydex/chlorophyll.shtml) | Leaf Guard (/abilitydex/leafguard.shtml) | Infiltrator (/abilitydex/infiltrator.shtml),55,45,50,45,65,80,340
#0189,Jumpluff (/pokemon/jumpluff),grass | flying,Chlorophyll (/abilitydex/chlorophyll.shtml) | Leaf Guard (/abilitydex/leafguard.shtml) | Infiltrator (/abilitydex/infiltrator.shtml),75,55,70,55,95,110,460
#0190,Aipom (/pokemon/aipom),normal,Run Away (/abilitydex/runaway.shtml) | Pickup (/abilitydex/pickup.shtml) | Skill Link (/abilitydex/skilllink.shtml),55,70,55,40,55,85,360
#0191,Sunkern (/pokemon/sunkern),grass,Chlorophyll (/abilitydex/chlorophyll.shtml) | Solar Power (/abilitydex/solarpower.shtml) | Early Bird (/abilitydex/earlybird.shtml),30,30,30,30,30,30,180
#0192,Sunflora (/pokemon/sunflora),grass,Chlorophyll (/abilitydex/chlorophyll.shtml) | Solar Power (/abilitydex/solarpower.shtml) | Early Bird (/abilitydex/earlybird.shtml),75,75,55,105,85,30,425
#0193,Yanma (/pokemon/yanma),bug | flying,Speed Boost (/abilitydex/speedboost.shtml) | Compoundeyes (/abilitydex/compoundeyes.shtml) | Frisk (/abilitydex/frisk.shtml),65,65,45,75,45,95,390
#0194,Wooper (/pokemon/wooper),water | ground,Damp (/abilitydex/damp.shtml) | Water Absorb (/abilitydex/waterabsorb.shtml) | Unaware (/abilitydex/unaware.shtml),55,45,45,25,25,15,210
#0195,Quagsire (/pokemon/quagsire),water | ground,Damp (/abilitydex/damp.shtml) | Water Absorb (/abilitydex/waterabsorb.shtml) | Unaware (/abilitydex/unaware.shtml),95,85,85,65,65,35,430
#0196,Espeon (/pokemon/espeon),psychic,Synchronize (/abilitydex/synchronize.shtml) | Magic Bounce (/abilitydex/magicbounce.shtml),65,65,60,130,95,110,525
#0197,Umbreon (/pokemon/umbreon),dark,Synchronize (/abilitydex/synchronize.shtml) | Inner Focus (/abilitydex/innerfocus.shtml),95,65,110,60,130,65,525
#0198,Murkrow (/pokemon/murkrow),dark | flying,Insomnia (/abilitydex/insomnia.shtml) | Super Luck (/abilitydex/superluck.shtml) | Prankster (/abilitydex/prankster.shtml),60,85,42,85,42,91,405
#0199,Slowking (/pokemon/slowking),water | psychic,Oblivious (/abilitydex/oblivious.shtml) | Own Tempo (/abilitydex/owntempo.shtml) | Regenerator (/abilitydex/regenerator.shtml),95,75,80,100,110,30,490
#0200,Misdreavus (/pokemon/misdreavus),ghost,Levitate (/abilitydex/levitate.shtml),60,60,60,85,85,85,435
#0201,Unown (/pokemon/unown),psychic,Levitate (/abilitydex/levitate.shtml),48,72,48,72,48,48,336
#0202,Wobbuffet (/pokemon/wobbuffet),psychic,Shadow Tag (/abilitydex/shadowtag.shtml) | Telepathy (/abilitydex/telepathy.shtml),190,33,58,33,58,33,405
#0203,Girafarig (/pokemon/girafarig),normal | psychic,Inner Focus (/abilitydex/innerfocus.shtml) | Early Bird (/abilitydex/earlybird.shtml) | Sap Sipper (/abilitydex/sapsipper.shtml),70,80,65,90,65,85,455
#0204,Pineco (/pokemon/pineco),bug,Sturdy (/abilitydex/sturdy.shtml) | Overcoat (/abilitydex/overcoat.shtml),50,65,90,35,35,15,290
#0205,Forretress (/pokemon/forretress),bug | steel,Sturdy (/abilitydex/sturdy.shtml) | Overcoat (/abilitydex/overcoat.shtml),75,90,140,60,60,40,465
#0206,Dunsparce (/pokemon/dunsparce),normal,Serene Grace (/abilitydex/serenegrace.shtml) | Run Away (/abilitydex/runaway.shtml) | Rattled (/abilitydex/rattled.shtml),100,70,70,65,65,45,415
#0207,Gligar (/pokemon/gligar),ground | flying,Hyper Cutter (/abilitydex/hypercutter.shtml) | Sand Veil (/abilitydex/sandveil.shtml) | Immunity (/abilitydex/immunity.shtml),65,75,105,35,65,85,430
#0208,Steelix (/pokemon/steelix),steel | ground,Rock Head (/abilitydex/rockhead.shtml) | Sturdy (/abilitydex/sturdy.shtml) | Sheer Force (/abilitydex/sheerforce.shtml),75,85,200,55,65,30,510
#0209,Snubbull (/pokemon/snubbull),fairy,Intimidate (/abilitydex/intimidate.shtml) | Run Away (/abilitydex/runaway.shtml) | Rattled (/abilitydex/rattled.shtml),60,80,50,40,40,30,300
#0210,Granbull (/pokemon/granbull),fairy,Intimidate (/abilitydex/intimidate.shtml) | Quick Feet (/abilitydex/quickfeet.shtml) | Rattled (/abilitydex/rattled.shtml),90,120,75,60,60,45,450
#0211,Qwilfish (/pokemon/qwilfish),water | poison,Poison Point (/abilitydex/poisonpoint.shtml) | Swift Swim (/abilitydex/swiftswim.shtml) | Intimidate (/abilitydex/intimidate.shtml),65,95,85,55,55,85,440
#0212,Scizor (/pokemon/scizor),bug | steel,Swarm (/abilitydex/swarm.shtml) | Technician (/abilitydex/technician.shtml) | Light Metal (/abilitydex/lightmetal.shtml),70,130,100,55,80,65,500
#0213,Shuckle (/pokemon/shuckle),bug | rock,Sturdy (/abilitydex/sturdy.shtml) | Gluttony (/abilitydex/gluttony.shtml) | Contrary (/abilitydex/contrary.shtml),20,10,230,10,230,5,505
#0214,Heracross (/pokemon/heracross),bug | fighting,Swarm (/abilitydex/swarm.shtml) | Guts (/abilitydex/guts.shtml) | Moxie (/abilitydex/moxie.shtml),80,125,75,40,95,85,500
#0215,Sneasel (/pokemon/sneasel),dark | ice,Inner Focus (/abilitydex/innerfocus.shtml) | Keen Eye (/abilitydex/keeneye.shtml) | Pickpocket (/abilitydex/pickpocket.shtml),55,95,55,35,75,115,430
#0216,Teddiursa (/pokemon/teddiursa),normal,Pickup (/abilitydex/pickup.shtml) | Quick Feet (/abilitydex/quickfeet.shtml) | Honey Gather (/abilitydex/honeygather.shtml),60,80,50,50,50,40,330
#0217,Ursaring (/pokemon/ursaring),normal,Guts (/abilitydex/guts.shtml) | Quick Feet (/abilitydex/quickfeet.shtml) | Unnerve (/abilitydex/unnerve.shtml),90,130,75,75,75,55,500
#0218,Slugma (/pokemon/slugma),fire,Magma Armor (/abilitydex/magmaarmor.shtml) | Flame Body (/abilitydex/flamebody.shtml) | Weak Armor (/abilitydex/weakarmor.shtml),40,40,40,70,40,20,250
#0219,Magcargo (/pokemon/magcargo),fire | rock,Magma Armor (/abilitydex/magmaarmor.shtml) | Flame Body (/abilitydex/flamebody.shtml) | Weak Armor (/abilitydex/weakarmor.shtml),60,50,120,90,80,30,430
#0220,Swinub (/pokemon/swinub),ice | ground,Oblivious (/abilitydex/oblivious.shtml) | Snow Cloak (/abilitydex/snowcloak.shtml) | Thick Fat (/abilitydex/thickfat.shtml),50,50,40,30,30,50,250
#0221,Piloswine (/pokemon/piloswine),ice | ground,Oblivious (/abilitydex/oblivious.shtml) | Snow Cloak (/abilitydex/snowcloak.shtml) | Thick Fat (/abilitydex/thickfat.shtml),100,100,80,60,60,50,450
#0222,Corsola (/pokemon/corsola),water | rock,Hustle (/abilitydex/hustle.shtml) | Natural Cure (/abilitydex/naturalcure.shtml) | Regenerator (/abilitydex/regenerator.shtml),65,55,95,65,95,35,410
#0223,Remoraid (/pokemon/remoraid),water,Hustle (/abilitydex/hustle.shtml) | Sniper (/abilitydex/sniper.shtml) | Moody (/abilitydex/moody.shtml),35,65,35,65,35,65,300
#0224,Octillery (/pokemon/octillery),water,Suction Cups (/abilitydex/suctioncups.shtml) | Sniper (/abilitydex/sniper.shtml) | Moody (/abilitydex/moody.shtml),75,105,75,105,75,45,480
#0225,Delibird (/pokemon/delibird),ice | flying,Vital Spirit (/abilitydex/vitalspirit.shtml) | Hustle (/abilitydex/hustle.shtml) | Insomnia (/abilitydex/insomnia.shtml),45,55,45,65,45,75,330
#0226,Mantine (/pokemon/mantine),water | flying,Swift Swim (/abilitydex/swiftswim.shtml) | Water Absorb (/abilitydex/waterabsorb.shtml) | Water Veil (/abilitydex/waterveil.shtml),85,40,70,80,140,70,485
#0227,Skarmory (/pokemon/skarmory),steel | flying,Keen Eye (/abilitydex/keeneye.shtml) | Sturdy (/abilitydex/sturdy.shtml) | Weak Armor (/abilitydex/weakarmor.shtml),65,80,140,40,70,70,465
#0228,Houndour (/pokemon/houndour),dark | fire,Early Bird (/abilitydex/earlybird.shtml) | Flash Fire (/abilitydex/flashfire.shtml) | Unnerve (/abilitydex/unnerve.shtml),45,60,30,80,50,65,330
#0229,Houndoom (/pokemon/houndoom),dark | fire,Early Bird (/abilitydex/earlybird.shtml) | Flash Fire (/abilitydex/flashfire.shtml) | Unnerve (/abilitydex/unnerve.shtml),75,90,50,110,80,95,500
#0230,Kingdra (/pokemon/kingdra),water | dragon,Swift Swim (/abilitydex/swiftswim.shtml) | Sniper (/abilitydex/sniper.shtml) | Damp (/abilitydex/damp.shtml),75,95,95,95,95,85,540
#0231,Phanpy (/pokemon/phanpy),ground,Pickup (/abilitydex/pickup.shtml) | Sand Veil (/abilitydex/sandveil.shtml),90,60,60,40,40,40,330
#0232,Donphan (/pokemon/donphan),ground,Sturdy (/abilitydex/sturdy.shtml) | Sand Veil (/abilitydex/sandveil.shtml),90,120,120,60,60,50,500
#0233,Porygon2 (/pokemon/porygon2),normal,Trace (/abilitydex/trace.shtml) | Download (/abilitydex/download.shtml) | Analytic (/abilitydex/analytic.shtml),85,80,90,105,95,60,515
#0234,Stantler (/pokemon/stantler),normal,Intimidate (/abilitydex/intimidate.shtml) | Frisk (/abilitydex/frisk.shtml) | Sap Sipper (/abilitydex/sapsipper.shtml),73,95,62,85,65,85,465
#0235,Smeargle (/pokemon/smeargle),normal,Own Tempo (/abilitydex/owntempo.shtml) | Technician (/abilitydex/technician.shtml) | Moody (/abilitydex/moody.shtml),55,20,35,20,45,75,250
#0236,Tyrogue (/pokemon/tyrogue),fighting,Guts (/abilitydex/guts.shtml) | Steadfast (/abilitydex/steadfast.shtml) | Vital Spirit (/abilitydex/vitalspirit.shtml),35,35,35,35,35,35,210
#0237,Hitmontop (/pokemon/hitmontop),fighting,Intimidate (/abilitydex/intimidate.shtml) | Technician (/abilitydex/technician.shtml) | Steadfast (/abilitydex/steadfast.shtml),50,95,95,35,110,70,455
#0238,Smoochum (/pokemon/smoochum),ice | psychic,Oblivious (/abilitydex/oblivious.shtml) | Forewarn (/abilitydex/forewarn.shtml) | Hydration (/abilitydex/hydration.shtml),45,30,15,85,65,65,305
#0239,Elekid (/pokemon/elekid),electric,Static (/abilitydex/static.shtml) | Vital Spirit (/abilitydex/vitalspirit.shtml),45,63,37,65,55,95,360
#0240,Magby (/pokemon/magby),fire,Flame Body (/abilitydex/flamebody.shtml) | Vital Spirit (/abilitydex/vitalspirit.shtml),45,75,37,70,55,83,365
#0241,Miltank (/pokemon/miltank),normal,Thick Fat (/abilitydex/thickfat.shtml) | Scrappy (/abilitydex/scrappy.shtml) | Sap Sipper (/abilitydex/sapsipper.shtml),95,80,105,40,70,100,490
#0242,Blissey (/pokemon/blissey),normal,Natural Cure (/abilitydex/naturalcure.shtml) | Serene Grace (/abilitydex/serenegrace.shtml) | Healer (/abilitydex/healer.shtml),255,10,10,75,135,55,540
#0243,Raikou (/pokemon/raikou),electric,Pressure (/abilitydex/pressure.shtml) | Inner Focus (/abilitydex/innerfocus.shtml),90,85,75,115,100,115,580
#0244,Entei (/pokemon/entei),fire,Pressure (/abilitydex/pressure.shtml) | Inner Focus (/abilitydex/innerfocus.shtml),115,115,85,90,75,100,580
#0245,Suicune (/pokemon/suicune),water,Pressure (/abilitydex/pressure.shtml) | Inner Focus (/abilitydex/innerfocus.shtml),100,75,115,90,115,85,580
#0246,Larvitar (/pokemon/larvitar),rock | ground,Guts (/abilitydex/guts.shtml) | Sand Veil (/abilitydex/sandveil.shtml),50,64,50,45,50,41,300
#0247,Pupitar (/pokemon/pupitar),rock | ground,Shed Skin (/abilitydex/shedskin.shtml),70,84,70,65,70,51,410
#0248,Tyranitar (/pokemon/tyranitar),rock | dark,Sand Stream (/abilitydex/sandstream.shtml) | Unnerve (/abilitydex/unnerve.shtml),100,134,110,95,100,61,600
#0249,Lugia (/pokemon/lugia),psychic | flying,Pressure (/abilitydex/pressure.shtml) | Multiscale (/abilitydex/multiscale.shtml),106,90,130,90,154,110,680
#0250,Ho-Oh (/pokemon/ho-oh),fire | flying,Pressure (/abilitydex/pressure.shtml) | Regenerator (/abilitydex/regenerator.shtml),106,130,90,110,154,90,680
#0251,Celebi (/pokemon/celebi),psychic | grass,Natural Cure (/abilitydex/naturalcure.shtml),100,100,100,100,100,100,600
#0252,Treecko (/pokemon/treecko),grass,Overgrow (/abilitydex/overgrow.shtml) | Unburden (/abilitydex/unburden.shtml),40,45,35,65,55,70,310
#0253,Grovyle (/pokemon/grovyle),grass,Overgrow (/abilitydex/overgrow.shtml) | Unburden (/abilitydex/unburden.shtml),50,65,45,85,65,95,405
#0254,Sceptile (/pokemon/sceptile),grass,Overgrow (/abilitydex/overgrow.shtml) | Unburden (/abilitydex/unburden.shtml),70,85,65,105,85,120,530
#0255,Torchic (/pokemon/torchic),fire,Blaze (/abilitydex/blaze.shtml) | Speed Boost (/abilitydex/speedboost.shtml),45,60,40,70,50,45,310
#0256,Combusken (/pokemon/combusken),fire | fighting,Blaze (/abilitydex/blaze.shtml) | Speed Boost (/abilitydex/speedboost.shtml),60,85,60,85,60,55,405
#0257,Blaziken (/pokemon/blaziken),fire | fighting,Blaze (/abilitydex/blaze.shtml) | Speed Boost (/abilitydex/speedboost.shtml),80,120,70,110,70,80,530
#0258,Mudkip (/pokemon/mudkip),water,Torrent (/abilitydex/torrent.shtml) | Damp (/abilitydex/damp.shtml),50,70,50,50,50,40,310
#0259,Marshtomp (/pokemon/marshtomp),water | ground,Torrent (/abilitydex/torrent.shtml) | Damp (/abilitydex/damp.shtml),70,85,70,60,70,50,405
#0260,Swampert (/pokemon/swampert),water | ground,Torrent (/abilitydex/torrent.shtml) | Damp (/abilitydex/damp.shtml),100,110,90,85,90,60,535
#0261,Poochyena (/pokemon/poochyena),dark,Run Away (/abilitydex/runaway.shtml) | Quick Feet (/abilitydex/quickfeet.shtml) | Rattled (/abilitydex/rattled.shtml),35,55,35,30,30,35,220
#0262,Mightyena (/pokemon/mightyena),dark,Intimidate (/abilitydex/intimidate.shtml) | Quick Feet (/abilitydex/quickfeet.shtml) | Moxie (/abilitydex/moxie.shtml),70,90,70,60,60,70,420
#0263,Zigzagoon (/pokemon/zigzagoon),normal,Pickup (/abilitydex/pickup.shtml) | Gluttony (/abilitydex/gluttony.shtml) | Quick Feet (/abilitydex/quickfeet.shtml),38,30,41,30,41,60,240
#0264,Linoone (/pokemon/linoone),normal,Pickup (/abilitydex/pickup.shtml) | Gluttony (/abilitydex/gluttony.shtml) | Quick Feet (/abilitydex/quickfeet.shtml),78,70,61,50,61,100,420
#0265,Wurmple (/pokemon/wurmple),bug,Shield Dust (/abilitydex/shielddust.shtml) | Run Away (/abilitydex/runaway.shtml),45,45,35,20,30,20,195
#0266,Silcoon (/pokemon/silcoon),bug,Shed Skin (/abilitydex/shedskin.shtml),50,35,55,25,25,15,205
#0267,Beautifly (/pokemon/beautifly),bug | flying,Swarm (/abilitydex/swarm.shtml) | Rivalry (/abilitydex/rivalry.shtml),60,70,50,100,50,65,395
#0268,Cascoon (/pokemon/cascoon),bug,Shed Skin (/abilitydex/shedskin.shtml),50,35,55,25,25,15,205
#0269,Dustox (/pokemon/dustox),bug | poison,Shield Dust (/abilitydex/shielddust.shtml) | Compoundeyes (/abilitydex/compoundeyes.shtml),60,50,70,50,90,65,385
#0270,Lotad (/pokemon/lotad),water | grass,Swift Swim (/abilitydex/swiftswim.shtml) | Rain Dish (/abilitydex/raindish.shtml) | Own Tempo (/abilitydex/owntempo.shtml),40,30,30,40,50,30,220
#0271,Lombre (/pokemon/lombre),water | grass,Swift Swim (/abilitydex/swiftswim.shtml) | Rain Dish (/abilitydex/raindish.shtml) | Own Tempo (/abilitydex/owntempo.shtml),60,50,50,60,70,50,340
#0272,Ludicolo (/pokemon/ludicolo),water | grass,Swift Swim (/abilitydex/swiftswim.shtml) | Rain Dish (/abilitydex/raindish.shtml) | Own Tempo (/abilitydex/owntempo.shtml),80,70,70,90,100,70,480
#0273,Seedot (/pokemon/seedot),grass,Chlorophyll (/abilitydex/chlorophyll.shtml) | Early Bird (/abilitydex/earlybird.shtml) | Pickpocket (/abilitydex/pickpocket.shtml),40,40,50,30,30,30,220
#0274,Nuzleaf (/pokemon/nuzleaf),grass | dark,Chlorophyll (/abilitydex/chlorophyll.shtml) | Early Bird (/abilitydex/earlybird.shtml) | Pickpocket (/abilitydex/pickpocket.shtml),70,70,40,60,40,60,340
#0275,Shiftry (/pokemon/shiftry),grass | dark,Chlorophyll (/abilitydex/chlorophyll.shtml) | Wind Rider (/abilitydex/windrider.shtml) | Pickpocket (/abilitydex/pickpocket.shtml),90,100,60,90,60,80,480
#0276,Taillow (/pokemon/taillow),normal | flying,Guts (/abilitydex/guts.shtml) | Scrappy (/abilitydex/scrappy.shtml),40,55,30,30,30,85,270
#0277,Swellow (/pokemon/swellow),normal | flying,Guts (/abilitydex/guts.shtml) | Scrappy (/abilitydex/scrappy.shtml),60,85,60,75,50,125,455
#0278,Wingull (/pokemon/wingull),water | flying,Keen Eye (/abilitydex/keeneye.shtml) | Hydration (/abilitydex/hydration.shtml) | Rain Dish (/abilitydex/raindish.shtml),40,30,30,55,30,85,270
#0279,Pelipper (/pokemon/pelipper),water | flying,Keen Eye (/abilitydex/keeneye.shtml) | Drizzle (/abilitydex/drizzle.shtml) | Rain Dish (/abilitydex/raindish.shtml),60,50,100,95,70,65,440
#0280,Ralts (/pokemon/ralts),psychic | fairy,Synchronize (/abilitydex/synchronize.shtml) | Trace (/abilitydex/trace.shtml) | Telepathy (/abilitydex/telepathy.shtml),28,25,25,45,35,40,198
#0281,Kirlia (/pokemon/kirlia),psychic | fairy,Synchronize (/abilitydex/synchronize.shtml) | Trace (/abilitydex/trace.shtml) | Telepathy (/abilitydex/telepathy.shtml),38,35,35,65,55,50,278
#0282,Gardevoir (/pokemon/gardevoir),psychic | fairy,Synchronize (/abilitydex/synchronize.shtml) | Trace (/abilitydex/trace.shtml) | Telepathy (/abilitydex/telepathy.shtml),68,65,65,125,115,80,518
#0283,Surskit (/pokemon/surskit),bug | water,Swift Swim (/abilitydex/swiftswim.shtml) | Rain Dish (/abilitydex/raindish.shtml),40,30,32,50,52,65,269
#0284,Masquerain (/pokemon/masquerain),bug | flying,Intimidate (/abilitydex/intimidate.shtml) | Unnerve (/abilitydex/unnerve.shtml),70,60,62,100,82,80,454
#0285,Shroomish (/pokemon/shroomish),grass,Effect Spore (/abilitydex/effectspore.shtml) | Poison Heal (/abilitydex/poisonheal.shtml) | Quick Feet (/abilitydex/quickfeet.shtml),60,40,60,40,60,35,295
